data,label
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_1.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_2.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_3.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_4.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_5.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_6.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_7.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_8.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_9.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_10.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_11.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_12.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_13.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_14.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_15.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_16.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_17.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_18.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_19.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_20.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_21.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_22.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_23.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_24.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_25.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_26.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_27.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_28.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_29.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_30.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_31.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_32.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_33.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_34.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_35.jpg,0
/home/nicolaus/PycharmProjects/thesis_program/blackwhite_image/Hiragana/Hiragana_A_36.jpg,0
